Authors,Title,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Source
"Ma W., Jiang G., Li W., Zhou T.","How do population decline, urban sprawl and industrial transformation impact land use change in rural residential areas? A comparative regional analysis at the peri-urban interface",2018,"Journal of Cleaner Production",7,"10.1016/j.jclepro.2018.08.323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054647407&doi=10.1016%2fj.jclepro.2018.08.323&partnerID=40&md5=7d51b9693ba5eab1d933c46ece64e637","By applying an integrated framework, this paper examines the impacts of population decline, urban sprawl and industrial transformation on rural residential land use change at the peri-urban interface. The examination is conducted from the perspective of the spatial structure of rural residential land based on a comparative regional analysis. The results show that the pace and pattern of spatial structure change in three regional areas are quite different: the changing process in mountainous areas is much slower, together with low-density development; conversely, the spatial structure in plains and semi-mountainous areas experiences considerable change, and development is more diversified. This can be explained by the differential impacts of urbanization and industrialization: rural population decline, which often occurs in exurban areas with monotonous economic structures, easily causes land and environmental degradation, as evidenced by large quantities of abandoned land. Nevertheless, suburban areas present a compact and multifunctional land use pattern, which is attributed to benign industrial transformation and the external benefits of urban sprawl (e.g., industrial transfer, infrastructure expansion, and urban-rural migration). Based on these findings, this paper also offers a critical discussion of the limitations of rural residential land use and potential adaptive strategies, arguing that the multifunctionality of rural areas and local village characteristics should be taken into account by Chinese policy-makers to achieve man-environment systems compatible with development and rural sustainability. © 2018 Elsevier Ltd","Comparative regional analysis; Impacts; Industrial transformation; Residential land use change; Spatial structure; Urban sprawl",Article,Scopus
"Ghorbanzadeh O., Moslem S., Blaschke T., Duleba S.","Sustainable urban transport planning considering different stakeholder groups by an interval-AHP decision support model",2018,"Sustainability (Switzerland)",20,"10.3390/su11010009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059013087&doi=10.3390%2fsu11010009&partnerID=40&md5=74f4f15cfebe6ecb0a7aab5889b3f35b","Sustainable urban transport requires smart and environmentally-friendly technical solutions. It also needs to meet the demands of different user groups, including current and potential future users, in order to avoid opposition of the citizens and to support sustainable development decisions. While these requirements are well-known, conducting full surveys of user needs and preferences are tedious and costly, and the interests of different user groups may be contradictory. We therefore developed a methodology based on the prevalent Analytic Hierarchy Process (AHP), which is capable of dealing with the inconsistencies and uncertainties of users' responses by applying an Interval Analytic Hierarchy Process (IAHP) through comparing the results of passengers to reference stakeholder groups. For a case study in Mersin, a coastal city in southern Turkey with 1.7 Million inhabitants, three groups were surveyed with questionnaires: 40 users of the public transport system, 40 non-users, and 17 experts. Based on interval pairwise comparison matrices, consisting of whole judgments of all groups, the IAHP methodology could attain a consensual preference ranking for a future public transportation system between the three groups. A sensitivity analysis revealed that the factor ranking was very stable. © 2018 by the authors.","Interval calculus; Multi-criteria decision making (MCDM); Stakeholder engagement; Supply quality; Sustainable transport policy",Article,Scopus
"Pan W., Pan M.","A dialectical system framework of zero carbon emission building policy for high-rise high-density cities: Perspectives from Hong Kong",2018,"Journal of Cleaner Production",7,"10.1016/j.jclepro.2018.09.025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054672878&doi=10.1016%2fj.jclepro.2018.09.025&partnerID=40&md5=66792747643639cd8aa1c00ab42d752e","Several countries and cities have developed policies on zero carbon emission building or the alike as a driver for achieving sustainable development, which however mainly target houses and low-rise buildings. High-rise buildings in high-density urban built areas are generally perceived impossible to achieve zero carbon emission, and remain as a gap in policy study. Nevertheless, given the continuous rapid urbanisation, building higher and denser becomes the norm for many cities due to scarce developable land resources. This paper aims to develop and verify a dialectical system framework of zero carbon emission building policy for high-rise high-density cities focused on Hong Kong which is a typical high-density metropolis with the largest number of high-rise buildings in the world. The research was conducted through a questionnaire survey, follow-up interviews and focus group meetings, which together engaged over one thousand professionals and stakeholders selected using clustered and random sampling. The developed framework emphasises the interdependency between the technical elements of the policy within their complex and interactive socio-economic, geographical, and regulatory and political boundaries. For the technical elements, the zero carbon emission targets and timelines for Hong Kong were perceived very ambitious but can prioritise new public non-residential buildings. User behaviour and energy efficiency were considered critical given the limited renewables in the city. The boundaries of the policy should be clearly defined to address different contexts and stakeholders. A strong need was identified for formulating zero carbon emission building policy for Hong Kong, which however was perceived difficult to implement. The identified strategies should inform the practice of reducing high-rise buildings’ carbon emissions and thus achieving urban sustainability. The findings verify zero carbon emission building policy as complex dialectical systems and provide useful learning for such policy development in high-density cities. © 2018 Elsevier Ltd","Building energy and carbon policy; Carbon emission; Dialectical system; Hong Kong; Zero carbon emission building",Article,Scopus
"Rehman A., Deyuan Z., Chandio A.A., Hussain I.","An empirical analysis of rural and urban populations' access to electricity: Evidence from Pakistan",2018,"Energy, Sustainability and Society",4,"10.1186/s13705-018-0183-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058972684&doi=10.1186%2fs13705-018-0183-y&partnerID=40&md5=02ea62417052a57104fc219b1e5c8327","Background: This study explores the electricity access to rural and urban populations and its impact on the economic growth in Pakistan. Methods: An autoregressive distributed lag (ARDL) bounds testing approach was applied, and a co-integration test was used to investigate the dynamic causality relationships between the study variables. By using this testing approach, this study filled the literature gap regarding the access of rural and urban population to electricity in Pakistan. Results: The tests shed light on the long-run relationship among the variables, whereas the results revealed that the access of both rural and urban populations to electricity had a positive and significant effect on economic growth. Conclusions: According to these findings, we can conclude that Pakistan should pay further attention to increasing its electricity production from different sources, including not only hydroelectric, solar, wind, oil, gas, and biomass but also fewer and fewer nuclear sources, in order to fulfill the country's demands on its way to a future of sustainable development. © 2018 The Author(s).","ARDL; Economic growth; Electricity; Rural population; Urban population",Article,Scopus
"Yang S., Zeng X.","Sustainability of government social media: A multi-analytic approach to predict citizens' mobile government microblog continuance",2018,"Sustainability (Switzerland)",3,"10.3390/su10124849","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058999080&doi=10.3390%2fsu10124849&partnerID=40&md5=42b0e0c84be1a6e41752f8fed86280ad","Attracting citizens and facilitating their continued usage is critical for the sustainable development of mobile government microblog services. Drawing on the stimulus-organism-response (SOR) framework and the literature related to perceived value, this study investigates the factors that affect citizens' continuance intention vis-a-vis mobile government microblogs from a value-based perspective. A structural equation modeling (SEM)-neural network combined method was used to test the proposed model by using data collected from 301 mobile government microblog users in China. The SEM analysis shows that social influence, perceived interactivity, and perceived mobility positively affect citizens' utilitarian value and hedonic value, which further affects their continuance intention. The significant factors obtained from the SEM are used as input for a neural network analysis to calculate their relative impacts. The results of the neural network analysis showed that perceived mobility is the most important factor influencing utilitarian value, while social influence is the most significant factor affecting hedonic value. The normalized importance of utilitarian value on continuance behaviors is larger than that of hedonic value. © 2018 by the authors.","Continuance intention; Government microblog; Neural network; Perceived value; Social media",Article,Scopus
"Deng X., Gong L., Gao Y., Cui X., Xu K.","Internal differentiation within the rural migrant population from the sustainable urban development perspective: Evidence from China",2018,"Sustainability (Switzerland)",1,"10.3390/su10124839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058712201&doi=10.3390%2fsu10124839&partnerID=40&md5=e7d390648b16760abeb46c932b5ba26a","Population mobility and attendant issues, especially housing issues, have a major impact on sustainable urban development. In the urbanization process, a number of micro-communities with various social characteristics have come to compose the rural migrant population (RMP), resulting in internal differentiation. This study aims to reveal the demographic structure of this specific group, and to analyze the effects of the mechanism between population flow trends and sustainable urban development, taking housing demand as a starting point. To this end, a clustering model for mixed-type data based on partitioning around the medoid is proposed, and the linked characteristics and potential laws of the RMP are analyzed, based on the dynamic data of the migrant population in eastern China. To achieve sustainable urban development, the locational preferences and coping strategies of inflowing micro-communities based on city types are demonstrated. The results show that the RMP can be divided into four groups that have strong representativeness and that show significant differences in population structure and housing demand. Super-large and medium-sized cities are the main migration destinations. Several suggestions are proposed, based on these results. Housing security policies should be designed according to the housing demand characteristics and the spatial distribution of different groups. Housing security policies should play a full and positive role in reasonably guiding RMP movement. © 2018 by the authors.","Cluster analysis; Eastern China; Internal differentiation; Rural migrant population; Sustainable urban development",Article,Scopus
"Vaidyanathan G.","Imagining a climate-change future, without the dystopia",2018,"Proceedings of the National Academy of Sciences of the United States of America",1,"10.1073/pnas.1819792116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058655166&doi=10.1073%2fpnas.1819792116&partnerID=40&md5=22681a5639afae65d9e791710875937d",[No abstract available],,Article,Scopus
"Raimondo M., Caracciolo F., Cembalo L., Chinnici G., Pecorino B., D'Amico M.","Making virtue out of necessity: Managing the citrus waste supply chain for bioeconomy applications",2018,"Sustainability (Switzerland)",6,"10.3390/su10124821","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058653199&doi=10.3390%2fsu10124821&partnerID=40&md5=e5900870993caf19ab85652f580b544d","The efficient use of agricultural wastes and by-products, which essentially transforms waste materials into value-added products, is considered as pivotal for an effective bioeconomy strategy for the rural development. Within this scope, citrus waste management represents a major issue for citrus processors. However, it also represents a potentially unexploited resource for rural sustainable development. This study focuses on analyzing the current management of citrus waste in South Italy, and on identifying the determinants and barriers that may affect an entrepreneur's choice in the destination of citrus waste. This study investigates the preferences of citrus processors regarding the contract characteristics necessary to take part in a co-investment scheme. Both analyses are preliminary steps in designing an innovative and sustainable citrus by-product supply chain. Results show that the distance between the citrus processors and the citrus by-products plant is one of the main criteria for choosing alternative valorization pathways. Moreover, guaranteed capital, a short duration of the contract, and reduced risk are contract scheme characteristics that improve entrepreneurs' willingness to co-invest in the development of a citrus waste multifunctional plant. The overall applied approach can be extended to other contexts for designing new and innovative by-product supply chains, thereby enhancing the implementation of bioeconomy strategies. © 2018 by the authors.","Agricultural by-product; Bio-economy; Choice model; Contract mechanism; Horizontal coordination; Waste valorization",Article,Scopus
"Duboz R., Echaubard P., Promburom P., Kilvington M., Ross H., Allen W., Ward J., Deffuant G., Garine-Wichatitsky M., Binot A.","Systems thinking in practice: Participatory modeling as a foundation for Integrated Approaches to Health",2018,"Frontiers in Veterinary Science",3,"10.3389/fvets.2018.00303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058958608&doi=10.3389%2ffvets.2018.00303&partnerID=40&md5=9f9247f17ac9e9f6043449f1e08e4dbc","One Health (OH), EcoHealth (EH), and Planetary Health (PH) share an interest in transdisciplinary efforts that bring together scientists, citizens, government and private sectors to implement contextualized actions that promote adaptive health management across human, animal and ecosystem interfaces. A key operational element underlying these Integrated Approaches to Health (IAH) is use of Systems Thinking as a set of tools for integration. In this paper we discuss the origins and epistemology of systems thinking and argue that participatory modeling, informed by both systems theory and expertise in facilitating engagement and social learning, can help ground IAH theoretically and support its development. Participatory modeling is iterative and adaptive, which is necessary to deal with complexity in practice. Participatory modeling (PM) methods actively involve affected interests and stakeholders to ground the field of inquiry in a specific social-ecological context. Furthermore, PM processes act to reconcile the diverse understandings of the empirical world that stem from divergent discipline and community viewpoints. In this perspective article, we argue that PM can support systems thinking in practice and is essential for IAH implementation. Accordingly we invite PH, OH, and EH practitioners to systematically incorporate specialists in systems science and social engagement and facilitation. This will enable the appropriate contextualization of research practice and interventions, and ensure a balanced representation of the roles and relationships of medical, biological, mathematical, and social disciplines. For completeness, funding schemes supporting IAH need to follow the same iterative, adaptive, and participative processes to accompany IAH projects throughout their implementation. © 2018 Duboz, Echaubard, Promburom, Kilvington, Ross, Allen, Ward, Deffuant, de Garine-Wichatitsky and Binot.","EcoHealth; One health; Participatory modeling; Planetary health; Resilience; Sustainable development goals; Systems theory; Systems thinking",Article,Scopus
"Wang Y., Liu X., Wang F.","Economic impact of the High-Speed Railway on housing prices in China",2018,"Sustainability (Switzerland)",1,"10.3390/su10124799","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058566980&doi=10.3390%2fsu10124799&partnerID=40&md5=7e0fb2f157cf2f80aafacb238e0eecc6","This study investigated whether and to what extent does the High-Speed Railway (HSR) affect city-level housing prices. With the data of HSR operation and housing prices from 285 cities from 2009 to 2017, the paper aimed to estimate the quantitative relationship between HSR and city-level housing prices and exploited city and regional dummy variables to assess the disparities between regions, followed by the economic effects between typical city pairs. Our findings were as follows: (1) The introduction of HSR leads to a 13.9% increase in city-level housing prices, and the figures for national central cities and regional central cities were 31.7% and 19.6%, respectively; (2) regional imbalance was mitigated with the development of the HSR, and some central cities in underdeveloped regions were stimulated with regard to housing price growth; (3) siphon effects and diffusion effects were observed in megacity-small city pairs, while synergistic effects often lay in megacity-megacity pairs, and such effects all tended to be more significant with increases in the number of HSR lines and a drop in the travel time. © 2018 by the authors.","Disparity and unbalance; High-speed rail; Housing prices; Sustainable economic development",Article,Scopus
