Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords
"Iskandar B.S., Iskandar J., Partasasmita R.","Hobby and business on trading birds: Case study in bird market of Sukahaji, Bandung, West Java and Splendid, Malang, East Java (Indonesia)",2019,"Biodiversitas",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065917621&doi=10.13057%2fbiodiv%2fd200522&partnerID=40&md5=9d214cefe2deb9e2a1d272cefa9a8975","Bird species have various ecological and socio-economic-cultural functions for the human being. Ecologically, birds have beneficial functions in the ecosystem, such as helping plant pollinators, spreading plant seeds, participating in controlling agricultural pests, and monitoring environmental changes. Meanwhile, bird functions for the social-economic and culture of the community among them are known as sources of protein food, mystical functions, sources of material stories, sources of inspiration to make songs, craft materials, the source of gene pool, and become pets and trade animals. With the rise of the urban population hobby of raising birds and also the development of various bird contest activities in the urban, causing of the bird trade is very widespread in urban areas, such as in bird markets. In some cities in Indonesia, various bird markets have been popularly known for a long time. This study aimed to elucidate species diversity, folk classification, bird populations, bird prices, constraints to bird trade, and the positive and negative effects of bird trade in the urban bird market. The research method used a mixture of qualitative and quantitative methods with the ethnoecological approach. The results of this study showed that from a survey of 60 bird traders in the bird market of Sukahaji, Bandung, and Splendid, Malang, a total of 160 bird species, representing 38 families were documented. Among them, 10 species representing 7 families recorded as protected bird by law in Indonesia, based on recent government regulation of the Minister of Environment and Forestry of Republic of Indonesian No.106/MENLHK/SETJEN/KUM.1/12/2018. A total of 2,950 individuals were recorded in Sukahaji; while in Splendid were recorded 3,558 individuals. Prices of birds that are traded varied greatly depending on the species and characteristics of birds. It has been revealed that bird trade in the bird market has been various economic benefits for many people. However, due to the bird trade in bird markets in the city which has not been properly managed, the sustainability system of the bird trade in the city is very alarming caused of many factors, including decreasing of bird population over time in rural ecosystem as main supply of urban bird trading in the bird markets. Therefore, bird trading in the bird markets must be properly managed based on the sustainable development program concept, namely pro-economic, pro-social, and pro-environment. © 2019, Society for Indonesian Biodiversity. All rights reserved.","And bird trade; Bird conservation; Bird markets; Hobbies for raising birds"
"Trevizani T.H., Domit C., Vedolin M.C., Angeli J.L.F., Figueira R.C.L.","Assessment of metal contamination in fish from estuaries of southern and southeastern Brazil",2019,"Environmental Monitoring and Assessment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064899249&doi=10.1007%2fs10661-019-7477-1&partnerID=40&md5=237998031782b18d611cd9f5bcc31172","Historically, the Brazilian coast has been impacted by urban, industrial, and port activities that have increased the input of chemical contaminants, such as heavy metals, to the ecosystem. The Paranaguá estuarine complex (PEC), Cananéia-Iguape estuarine-lagoon complex (CIELC), and Santos-São Vicente estuarine complex (SSVEC) (S-SE Brazil) are surrounded by urbanized cities and port areas characterized by various anthropogenic discharges comprising several potential pollutants, including heavy metals. Concerns about such contamination are paramount because these estuaries are important for traditional fishing communities and are categorized as World Heritage sites and biodiversity hotspots by UNESCO. In this study, metals (Cu, Cr, Ni, Pb, Zn, and Hg) and metalloids (As and Se) known to affect the health of marine life were evaluated in regional fishes. Muscle and liver tissues from three demersal teleosts (Stellifer rastrifer, Paralonchurus brasiliensis, and Isopisthus parvipinnis) were analyzed by inductively coupled plasma optical emission spectrometry (ICP-OES), with a coupled vapor generated accessory (VGA). Irrespective of species, metal bioconcentration was significantly greater in fishes from the PEC and CIELC, which had higher As, Cu, and Zn concentrations, while Se levels were higher in fish from the PEC and SSVEC estuaries. Seasonality, fish species and maturation stage affected the accumulation of metals. Some metal levels, including As, Cr, Pb, and Se in all species across all estuaries, and Zn in the PEC, exceeded the maximum permitted level for seafood and might present a risk for daily human consumption. The results provide reference points for existing chemical contamination and should be used to guide monitoring programs and the sustainable development of these coastal regions, within a broader objective of maintaining public health. © 2019, Springer Nature Switzerland AG.","Bioconcentration; Brazil; Estuaries; Human health; Metals"
"Meena D.K., Lianthuamluaia L., Mishal P., Swain H.S., Naskar B.K., Saha S., Sandhya K.M., Kumari S., Tayung T., Sarkar U.K., Das B.K.","Assemblage patterns and community structure of macro-zoobenthos and temporal dynamics of eco-physiological indices of two wetlands, in lower gangetic plains under varying ecological regimes: A tool for wetland management",2019,"Ecological Engineering",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061147189&doi=10.1016%2fj.ecoleng.2019.02.002&partnerID=40&md5=f90f80389ddb36e804fb04d15081e846","Wetlands are rich biological resources and support livelihood and nutritional security to a huge populace globally. In the present study, two ecologically distinct floodplain wetlands viz., Khalsi and Akaipur located in the sub-basin of Jamuna river in lower Gangetic basin, were studied for abundance, species richness and diversity indices of macro-zoobenthic communities across four seasons. The selected wetlands vary in terms of ecological regimes such as, water volume, depth, link channel, agricultural runoffs, macrophyte coverage etc. Khalsi, a seasonally open beel (wetland) that occasionally exchange water with river Jamuna during high flood, while Akaipur is a closed beel with no exchange of water. The studies indicated higher community richness in macrophyte dominated seasonally open Khalsi wetland (22species) as compared to closed Akaipur wetlands (20 species). The community abundance was higher in Khalsi (8496 nos/m 2 ) as compared to Akaipur. Average Dominance, Simpson and Shannon diversity indices for Khalsi and Akaipur were calculated as 0.3, 0.7 &amp; 1.5 and 0.2, 0.8 &amp; 1.7, respectively. The community structure of wetlands revealed dominance of a single group, gastropoda (99%), followed by bivalvia (0.64%), diptera (0.27%) and oligochaeta (0.09%) in Khalsi, whereas, Akaipur depicted community structure with dominance of gastropoda (46.18%) followed by oligochaeta (41.36%), diptera (11.22%) and bivalvia (1.24%). The trophic state index (TSI) based on chlorophyll a (Chla), Secchi disc transparency and total phosphorus showed significant (p &lt; 0.05) variations in both wetlands between different seasons. The water quality parameters were also significantly (p &lt; 0.05) differ in both the wetlands except dissolved oxygen. The CCA components, CCA1 and CCA2 explained 27.59% and 23.95% and 39.78% and 15.26% of the species environment correlation in Akaipur and Khalsi, respectively. The distribution range of macro-zoobenthos varies 0.30–0.92 and 0.26–0.96 in Khalsi and Akaipur, respectively. The study revealed better ecosystem health of Khalsi beel in sustaining aquatic diversity while Akaipur beel is succeeding towards super eutrophic state. Thus, the present study provides baseline information on assemblage patterns and community structure of macro-zoobenthos in two important wetlands for sustainable management of the aquatic bioresources. © 2019 Elsevier B.V.","Assemblage; Biodiversity; Community structure; Ecology; India; Macro-zoobenthos; Wetlands"
"Nambuusi B.B., Ssempiira J., Makumbi F.E., Kasasa S., Vounatsou P.","The effects and contribution of childhood diseases on the geographical distribution of all-cause under-five mortality in Uganda",2019,"Parasite Epidemiology and Control",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062808354&doi=10.1016%2fj.parepi.2019.e00089&partnerID=40&md5=fdef96e53aedd8973a58b0b0e71bf833","Introduction: Information on the causes of death among under-five children is key in designing and implementation of appropriate interventions. In Uganda, civil death registration is incomplete which limits the estimation of disease-related mortality burden especially at a local scale. In the absence of routine cause-specific data, we used household surveys to quantify the effects and contribution of main childhood diseases such as malaria, severe or moderate anaemia, severe or moderate malnutrition, diarrhoea and acute respiratory infections (ARIs) on all-cause under-five mortality (U5M) at national and sub-national levels. We related all-cause U5M with risks of childhood diseases after adjusting for geographical disparities in coverages of health interventions, socio-economic, environmental factors and disease co-endemicities. Methods: Data on U5M, disease prevalence, socio-economic and intervention coverage indicators were obtained from the 2011 Demographic and Health Survey, while data on malaria prevalence were extracted from the 2009 Malaria Indicator Survey. Bayesian geostatistical Weibull proportional hazards models with spatially varying disease effects at sub-national scales were fitted to quantify the associations between childhood diseases and the U5M. Spatial correlation between clusters was incorporated via locational random effects while region-specific random effects with conditional autoregressive prior distributions modeled the geographical variation in the effects of childhood diseases. The models addressed geographical misalignment in the locations of the two surveys. The contribution of childhood diseases to under-five mortality was estimated using population attributable fractions. Results: The overall U5M rate was 90 deaths per 1000 live births. Large regional variations in U5M rates were observed, lowest in Kampala at 56 and highest in the North-East at 152 per 1000 live births. National malaria parasitemia prevalence was 42%, with Kampala experiencing the lowest of 5% and the Mid-North the highest of 62%. About 27% of Ugandan children aged 6–59 months were severely or moderately anaemic; lowest in South-West (8%) and highest in East-Central (46%). Overall, 17% of children were either severely or moderately malnourished. The percentage of moderately/severely malnourished children varied by region with Kampala having the lowest (8%) and North-East the highest (45%). Nearly a quarter of the children under-five years were reported to have diarrhoea at national level, and this proportion was highest in East-Central (32%) and Mid-Eastern (33%) and lowest in South-West (14%). Overall, ARIs in the two weeks before the survey was 15%; highest in Mid-North (22%) and lowest in Central 1 (9%). At national level, the U5M was associated with prevalence of malaria (hazard ratio (HR) = 1.74; 95% BCI: 1.42, 2.16), severe or moderate anaemia (HR =1.37; 95% BCI: 1.20, 1.75), severe or moderate malnutrition (HR = 1.49; 95% BCI: 1.25, 1.66) and diarrhoea (HR = 1.61; 95% BCI: 1.31, 2.05). The relationship between malaria and U5M was important in the regions of Central 2, East-Central, Mid-North, North-East and West-Nile. Diarrhoea was associated with under-five deaths in Central 2, East-central, Mid-Eastern and Mid-Western. Moderate/severe malnutrition was associated with U5M in East-Central, Mid-Eastern and North-East. Moderate/severe anaemia was associated with deaths in Central 1, Kampala, Mid-North, Mid-Western, North-East, South-West and West-Nile. At the national level, 97% (PAF = 96.9; 95%BCI: 94.4, 98.0), 91% (PAF = 90.9; 95%BCI: 84.4, 95.3), 89% (PAF = 89.3; 95%BCI: 76.0,93.8) and 93% (PAF = 93.3 95%BCI: 87.7,96.0) of the deaths among children less than five years in Uganda were attributable to malaria, severe/moderate anaemia, severe/moderate malnutrition and diarrhoea respectively. The attribution of malaria was comparable in Central 2, East-Central, Mid-North, North-East and West-Nile while severe/moderate anaemia was more common in all regions except Central 2, East-Central and Mid-Eastern. The attribution of diarrhoea in Central 2, East-Central, Mid-Eastern and Mid-Western was similar. The attribution of severe/moderate malnutrition was common in East-Central, Mid-Eastern and North-East. Conclusion: In Uganda, the contribution and effects of childhood diseases on U5M vary by region. Majority of the under-five deaths are due to malaria, followed by diarrhoea, severe/moderate anaemia and severe/moderate malnutrition. Thus, strengthening disease-specific interventions especially in the affected regions may be an important strategy to accelerate progress towards the reduction of the U5M as per the SDG target by 2030. In particular, Indoor Residual Spraying, iron supplementation, deworming, exclusive breastfeeding, investment in nutrition and education in nutrition practices, oral rehydration therapy or recommended home fluid, improved sanitation facilities should be improved. © 2019 The Authors","Anaemia; Bayesian geostatistical inference; DHS; Diarrhoea; Malaria; Malnutrition; Population attributable fractions; Respiratory infections; Uganda; Under-five mortality"
"Huang J.-Y., Wey W.-M.","Application of Big Data and Analytic Network Process for the Adaptive Reuse Strategies of School Land",2019,"Social Indicators Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049589635&doi=10.1007%2fs11205-018-1951-y&partnerID=40&md5=d48d40eb7e47aa86b0438cba898dc6b8","Most recent discussion of the adaptive reuse of school land has focused almost exclusively on repurposing or redeploying vacant school space rather than comprehensively re-planning and constructing the entire school land for the overall needs of society and urban development. The relevant government agencies for school land reuse in Taiwan, such as the Ministry of Education and municipal governments, mostly provide subjective regulations or revitalization provisions for the sustainable development of school resources; however, no specific scientific assessment or a planning procedure has been proposed to revitalize school land. Therefore, constructing a scientific, quantitative, and objective planning framework and procedure is necessary for the adaptive reuse of school land based on the needs of overall society and urban development in order to replace the existing and outdated planning philosophy and to correct prominent shortcomings of past planning operations that were solely in accordance with the qualitative judgment and decision making of official agencies. In this study, we mainly adopted the analytic network process (ANP) and big data, including demographics, facility usage, and social welfare indicators, to assist the Taipei City government to construct or reform land reuse strategies for junior high and elementary schools facing immediate or future closure, consolidation, or downsizing. To take a more realistic approach to improve final decision making, the investigation of expert questionnaires through the ANP was based on the consideration of future trends that were objectively evaluated by big datasets. The novel planning philosophy and concise decision framework for reuse strategies we designed are expected to improve public decision-making transparency, adaptive reuse effectiveness, and quality of urban life. Ultimately, our proposed strategies and suggestions can not only assist local public sectors to promote the policy of adaptive reuse of surplus school lands but also serve as an appropriate blueprint of urban sustainability for the central government in the near future. © 2018, Springer Nature B.V.","Analytic network process; Big data; Quality of urban life; Reuse of school land"
"Mindell J.S.","Disparities, variations, inequalities or inequities: Whatever you call them, we need data to monitor them",2019,"Israel Journal of Health Policy Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065235380&doi=10.1186%2fs13584-019-0307-7&partnerID=40&md5=edfb8d7115272c39b45f8ef0b13f7895","Health inequalities are a problem in high, middle and low income countries. Most are unfair ('inequities') and could be minimised but primarily through policies outside the health service. In the US, the Center for Diseases Control has used high quality, nationally-available data to monitor conditions and determinants of health among different groups (by sex, disability, race, ethnicity, and language) to motivate action to reduce inequalities. In the UK, the 10 top level 'health' indicators in London at the turn of the millennium included unemployment, education, housing quality, crime, air pollution, road travel injuries, as well as traditional health measures. Most of these affect mental and physical health through social determinants or adverse environmental exposures. Current inequalities monitoring in England includes a Local Basket of Inequalities Indicators focusing on a wide range of determinants of health as well as traditional health metrics. Israel, like the US, has above average socio-economic inequalities but has universal healthcare. Health inequalities in Israel occur within different Jewish groups and by income, education, ethnicity, and religion, with disadvantages often clustering. Current monitoring in Israel focuses on health outcomes and 'midstream' healthcare-related provision. I agree with Abu-Saad and her colleagues that including monitoring of social determinants of health is crucial to identify and tackle health inequalities in Israel. National, 'upstream', interventions are the most effective ways to reduce inequalities and improve the population's health. High-level political support is crucial for this. While a 'Health in all Policies' approach combined with political will to 'leave no one behind' can lead to great improvements, regular monitoring is essential, to: identify the inequities; plan appropriate and effective, targeted interventions; implement and evaluate them; and change them where needed. All of this requires adequate and timely data on health and its determinants, including information about undiagnosed and poorly controlled disease, obtained from the general population not just those attending for healthcare, analysed for each population sub-group at risk of experiencing inequalities. This is a commentary on https://doi.org/10.1186/s13584-018-0208-1 © 2019 The Author(s).","Disparities; Inequalities; Inequities; Sustainable development goals (SDGs); Variations"
"Ren M.","Greater political commitment needed to eliminate malaria",2019,"Infectious Diseases of Poverty",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065227966&doi=10.1186%2fs40249-019-0542-8&partnerID=40&md5=c9a9fda3f4fbb92b3da0d9e3d68f9c50","Malaria-related mortality has a very high association with poverty rates, and the disease is most prevalent in low- A nd middle-income countries. To achieve the malaria-specific targets of the Sustainable Development Goals, malaria-endemic countries and development partners need to take concerted action to reduce malaria cases and deaths. Reaching all affected communities with malaria interventions requires strong political commitment and a significant expansion of international and domestic financial resources. World Malaria Day 2019 is an opportunity to review progress and challenges in this field. © 2019 The Author(s).","Africa; Epidemic; Health funding; Malaria; Poverty; Primary health care; Sustainable development goals; Vector-borne diseases; World malaria day"
"Poudyal N.C., Gyawali B.R., Simon M.","Local residents’ views of surface mining: Perceived impacts, subjective well-being, and support for regulations in southern Appalachia",2019,"Journal of Cleaner Production",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061330443&doi=10.1016%2fj.jclepro.2019.01.277&partnerID=40&md5=4c583b70c2e78a459e5261e5724fdf11","Growing public demand for cleaner technologies and alternative energy sources has challenged the sustainability of traditional industries like coal mining. Public support for mining in rural communities may depend partly on how local residents perceive its impacts on their well-being. Nonetheless, community perceptions of and attitudes toward mining have received limited empirical attention. This study surveyed long-term residents of predominantly mining counties in eastern Kentucky to assess how residents perceive environmental change and subjective well-being relative to mining activities and how the perceived impacts of mining and their confidence in reclamation influence their support for public policies regulating surface mining. While residents noted some changes in natural environment conditions over the years, mining operations were not perceived as responsible factor for those changes. We also found that surface mining currently enjoys overwhelming public support, mainly because local residents view mining as part of their community identity and are skeptical about environmental concerns relative to the benefit mining brings. Occupation in mining, perceived past impact, and future risk were all negatively related to subjective well-being. Support for regulations to stop surface mining in the region was significantly impacted by perceived risks and benefits, confidence in reclamation efforts, attitudes toward the mining industry, and trust in local institutions. Considering the ongoing policy debates surrounding cleaner technology and concerns for economic growth in rural areas, this study provides insights on community perception and acceptability of surface mining that will inform policy making and regional development planning in southern Appalachia and similar regions. © 2019 Elsevier Ltd","Coal; Mountain-top removal; Public attitudes; Quality of life; Regulation"
"Nakamura H.","Relationship among land price, entrepreneurship, the environment, economics, and social factors in the value assessment of Japanese cities",2019,"Journal of Cleaner Production",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060913604&doi=10.1016%2fj.jclepro.2019.01.201&partnerID=40&md5=05dba3e8c56db57f51d68bced858eb75","Assessing the value of local areas and cities, including examining the entrepreneurial, environmental, economic, and social dimensions of sustainability, has become key to fostering development. Such assessments can be conducted using a land-price function. This study analysed the land-price function using a geographically weighted regression model of land price, and explanatory variables related to entrepreneurial, environmental, economic, and social factors. To consider these factors, specific data scores were taken into account. A correlation analysis showed that six variables are essential for future value analyses: these are entrepreneurship, nature conservation, resource recycling, social vitality, the local government's financial viability, and environmental quality. Using these six variables to conduct preliminary regression analyses via four models, the study found that entrepreneurship, social vitality, and environmental quality have a positive impact on land prices in local areas and cities, while nature conservation, resource recycling, and the local government's financial viability have a negative impact. The result of a geographically weighted regression analysis showed that the areas around large cities in Japan have benefitted more from entrepreneurship and social vitality than have the areas around small and mid-sized cities. While large cities may be better equipped to promote environmental policies, small and mid-sized cities could promote entrepreneurship and social vitality policies using their environmental advantages. © 2019 Elsevier Ltd","Economy; Entrepreneurship; Environment; Geographically weighted regression model; Land-price function; Society"
"Fan Y., Fang C.","Research on the synergy of urban system operation—Based on the perspective of urban metabolism",2019,"Science of the Total Environment",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060446295&doi=10.1016%2fj.scitotenv.2019.01.252&partnerID=40&md5=19f7fdd110724bb6e7fa918a45df47c4","Cities have been posing threats to local environment due to intensive human activities. Disordered urban metabolism can lead to unhealthy urban system operation. Studying urban metabolism can identify the characteristics and structure of urban system operations, thereby promoting sustainable development. We construct an ecological network to model the energy/material flows among the sectors of urban system in Beijing, Shanghai, Tianjin, and Chongqing, which are the most representative cities of China. Ecological network analysis was introduced to survey the system's characteristic of structure and function. Results show that Shanghai's urban metabolic system has the highest synergism with a value of 5.04, followed by Beijing, Chongqing, and Tianjin. Different cities vary considerably in terms of the relationships among the sectors. In Beijing and Chongqing, there is mutualistic relationship between environment and primary industry. Transportation forms a mutualistic relationship with tertiary industry and other sectors Only in Chongqing. The good relationships between primary industry and construction are merely seen in Beijing and Shanghai. However, some relationships are similar in the four cities, for instance, all the relationships between primary industry and advanced industry, and between construction and advanced industry are competition; All the relationships between environment and transportation are mutualism. We further explored the network stability and found that the studied urban systems are all located in a stable status relatively. Our research could reveal the synergy of urban operation, and provide a theoretical basis for optimizing urban metabolic processes by regulating the flows and guidance for sustainable urban development. © 2019 Elsevier B.V.","Competition; Mutualism; Stability; Sustainable development; Synergism; Urban metabolic system"
"Éles A., Halász L., Heckl I., Cabezas H.","Evaluation of the energy supply options of a manufacturing plant by the application of the p-graph framework",2019,"Energies",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065740357&doi=10.3390%2fen12081484&partnerID=40&md5=86a76f57e76c38b10656c8595313da4d","Industrial applications nowadays are facing the complexity of the problem of finding an optimal energy supply composition. Heating and electricity needs vary throughout a year and need to be addressed. There is usually power available from the market, but a company has other investment options to consider, such as solar power, or utilization of local biomass. Fixed and proportional investment and operational costs must be compared to long-term cost-efficiency. The P-Graph framework is an effective tool in the design and synthesis of process networks, and is capable of showing optimal decisions. In the present work, a new P-Graph model was implemented to address the synthesis of the energy supply options of a manufacturing plant in Hungary. Compared to the original approach, a multi-periodic scheme was applied for heating and electricity demands. Also, the pelletizer and biogas plant investments are modeled in the P-Graph with a new technique that better reflects equipment capacities and flexible input ratios. The best solutions in this case study in terms of total costs are listed. It can be concluded that a long-term investment horizon is needed for the incorporation of sustainable energy sources into the system to be cost-efficient. © 2019 by the authors.","Biomass; Energy efficiency; Multi-periodic model; Optimization; P-Graph framework; Process network synthesis; Sustainability"
"Acero López A.E., Ramirez Cajiao M.C., Peralta Mejia M., Payán Durán L.F., Espinosa Díaz E.E.","Participatory Design and Technologies for Sustainable Development: an Approach from Action Research",2019,"Systemic Practice and Action Research",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049565259&doi=10.1007%2fs11213-018-9459-6&partnerID=40&md5=9c4cfab794a822ce756575c1aee2985c","This paper explores the relevance of the action research for design of technological solutions that lead to both systemic sustainable development and active involvement of the community. The paper shows how this idea was implemented in a project for water resource conservation with educational institutions of rural areas in Colombia. Through the use of technology, a reduction in water consumption increases in awareness about the use of this natural resource, and the active involvement of the community were sought. Additionally, social processes related to the conservation of natural resources were addressed through a socio-technical approach for analysis and design. During the application of the Soft Systems Methodology (SSM), the participants and researchers created technological prototypes that allowed to: 1) give visibility to the community’s initiatives, and 2) save water in the households. This paper focuses on the importance of the design process of innovative solutions for social and environmental issues through the participative approach of action research. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Drinking water conservation; Participation; Participatory action research; Technology design"
"Tziolas N., Tsakiridis N., Ben-Dor E., Theocharis J., Zalidis G.","A memory-based learning approach utilizing combined spectral sources and geographical proximity for improved VIS-NIR-SWIR soil properties estimation",2019,"Geoderma",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059484483&doi=10.1016%2fj.geoderma.2018.12.044&partnerID=40&md5=13a0ad6ad00cb27cc4e9af0ff8fe8243","The current study was driven by the need to derive improved soil information whereby the strengths of memory-based learning and soil spectroscopy are exploited towards addressing regional challenges and supporting sustainable development across the Balkan, North Africa, and Middle East regions. In this study we focused on a novel derivation of the Spectrum Based Learner (SBL) algorithm by i) taking into account both the geographical proximity and the spectral similarity in the computation of the distance between samples, and ii) using an optimal pair of spectral pre-treatments with the first used for the determination of neighbours while the latter for the estimation of the target property. The proposed approach was tested on a recently developed standardized Soil Spectral Library (SSL) across the VIS-NIR-SWIR spectral region range (350–2500 nm) which comprises 1760 soil samples from 9 different countries and is considered the largest and most diverse soil database infrastructure in the region compatible with other SSLs. Here, we found that our approach presents a great potential for predicting soil texture contents (Clay, Sand, and Silt), organic carbon (OC), Calcium Carbonate (CaCO3), pH, and Electrical Conductivity (EC). These results outperform the predictive performance of other state of the art global and local approaches that have been applied to similar large and complex soil datasets. The use of geographical coordinates in the computation of the sample similarities enhanced the predictions of soil properties, since it allowed the generation of local subsets that present similar soil compositions. In addition, we conclude that the various spectral sources as derived by a set of predefined spectral pre-processing techniques contain complementary information which should be combined instead of relying solely on the best spectral pre-processing technique. This approach could be effectively utilized to enhance the predictions of soil properties in large and complex SSLs, since it decreased the Root Mean Square Errors (RMSEs) by a relative mean of 6.47% (average value across the properties – decrease ranging from 2.90% to 9.09%) for the various soil properties, compared to other global and local algorithms. We conclude that national SSLs that were measured under a standardization process could further contribute to the global initiative to address challenges and support a data-centric approach for informed decision making with regards to environmental and agricultural issues. © 2019 Elsevier B.V.","Local regression modelling; Memory-based learning; Regional in situ database; Soil spectral library; Spectrum based learner; VIS-NIR-SWIR spectroscopy"
"Berio Fortini L.","Integrated models show a transient opportunity for sustainable management by tropical forest dwellers",2019,"Forest Ecology and Management",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062003919&doi=10.1016%2fj.foreco.2019.02.022&partnerID=40&md5=134b8e1e199d545a22ceeabd213a2532","Nearly 25% of world's poor are dependent on forests, with 0.5–1 billion smallholders managing trees. This extensive human use of forests points to the need for sustainable timber management (STM) at smallholder scales. Similar to other tropical regions, households in the Amazon Estuary have harvested timber informally with minimal management for decades. This research provides a comprehensive look at the ecological and economic sustainability of forest use by local smallholders by integrating detailed plant demography, microeconomic, management and land use models at a whole watershed and community scale. In terms of conservation outcomes, resulting models show that forest management results in extensive harvests that allow for faster tree population recovery. In terms of economic outcomes, management also improves the long-term viability of the local timber industry in all scenarios considered. However, with respect to harvest regulations, given the costs of legalizing these small informal operations, legalization may indirectly lead to heavier ecological impacts as households need to harvest more to keep economic returns similar to the predominant alternative land use in the region (açaí palm fruit agroforestry). Despite a fast-growing and resource-rich forest, an increasing extent of degraded forest area reduces the ecological and economic prospects for long-term management. Consequently, for this and other similar tropical forests, the viability of STM should not be evaluated as a binary and static yes or no response but instead as a moving window of opportunity that occurs when ecological, economic and policy conditions are met. Integrated model projections show that regionally-derived and ecologically-based sustainable management guidelines widen this window of opportunity by delivering the best ecological and economic outcomes under a range of scenarios considered. © 2019","Açaí; Community forest management; Euterpe; Matrix models; Sustainable forest management; Sustained yield; Várzea"
"Furumo P.R., Mitchell Aide T.","Using soundscapes to assess biodiversity in Neotropical oil palm landscapes",2019,"Landscape Ecology",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065713969&doi=10.1007%2fs10980-019-00815-w&partnerID=40&md5=56905c039bc64bce0b47b861eca2f754","Context: Expanding oil palm plantations have caused widespread deforestation and biodiversity loss in Southeast Asia, stigmatizing the industry around the world regardless of regional context. In Latin America, oil palm plantations are primarily replacing other agroindustrial land uses with uncertain implications for local biodiversity. Objectives: Our aim was to create empirical baseline data to help guide development of future plantations into areas where biodiversity impacts are minimized. We used soundscapes to assess fauna in oil palm landscapes of Colombia, the world’s 4th largest palm oil producer. Methods: Soundscapes capture daily patterns of acoustic activity that can be used to measure differences between biotic communities between habitats. Using remnant forest fragments as reference sites, we sampled land use classes that are commonly replaced by commercial oil palm including cattle pastures, rice fields, and banana plantations. Results: Soundscape analysis showed that even highly degraded forests have a unique soundscape compared to production systems. Similarities were found among closed canopy production sites (oil palm, banana) and open production habitat (pastures, rice), suggesting the importance of habitat structure for acoustic communities. Oil palm also showed notable overlap with pastures, but had soundscapes that were more similar to forest than the other production types. Conclusions: Future oil palm development in Latin America can replace cattle pastures and other commodity plantation agriculture with minimal impacts on acoustic communities. New supply chain governance approaches such as the zero-deforestation agreements being implemented in the Colombian oil palm and cattle sectors may help guide the industry toward more sustainable development by continuing to target previously cleared lands. © 2019, Springer Nature B.V.","Bioacoustics; Biodiversity conservation; Commodity crops; Forest patch; Indicator species; Latin America; Riparian forest; Sustainability"
"Chakraborty A.","Challenges for environmental sustainability in a mountain destination: insights from the Shiroumadake District of North Japan Alps",2019,"GeoJournal",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043364233&doi=10.1007%2fs10708-018-9868-1&partnerID=40&md5=0ae73e61e3a126f6412a265a18ab39f3","This article analyzes the complex challenges for environmental sustainability of mountain destinations through a case study of the Shiroumadake District of North Japan Alps. The area is known for its scenic peaks including Mount Shirouma, powdery winter snow and the rich variety of alpine wildflowers in summer. However the area has a long history of human habitation and visitation; and its emergence as one of the most famous mountain resorts of Japan has resulted in significant ongoing visitor impact on the landscape. Currently a general warming trend and change of snow conditions threaten this area. The case study adopted a qualitative method based on interviews and content analysis to gain important insight on the complex interrelationship between the biophysical (geological, geomorphological, ecological) and social (mainly tourism) aspects of the area. It was found that while climate change is keenly perceived by local stakeholders due to its threat on livelihoods; anthropogenic fragmentation of geo-ecological connectivity and its transformation over time are poorly understood. Standard management decisions favor stabilization of key geomorphic processes that have shaped the dynamic environment through perpetual change at least since the Holocene deglaciation; such human actions fragment ecological resilience of the place. The article posits that the understanding of the past and key natural change pathways is of critical importance for sustainable future of mountain destinations, and recommends downscaling of economic activities such as large-scale tourism for reducing the level of anthropogenic impact. © 2018, Springer Science+Business Media B.V., part of Springer Nature.","Anthropocene; Anthropogenic change; Geo-ecological connectivity; Holocene transition; Local stakeholders; Mountain destination; North Japan Alps"
